timestamp,Direct radiation
20200101T0000,0.0
20200101T0100,0.0
20200101T0200,0.0
20200101T0300,0.0
20200101T0400,0.0
20200101T0500,0.0
20200101T0600,0.0
20200101T0700,0.0
20200101T0800,0.0
20200101T0900,20.47
20200101T1000,134.39
20200101T1100,239.41
20200101T1200,308.83
20200101T1300,336.41998
20200101T1400,315.94998
20200101T1500,250.98
20200101T1600,148.63
20200101T1700,31.15
20200101T1800,0.0
20200101T1900,0.0
20200101T2000,0.0
20200101T2100,0.0
20200101T2200,0.0
20200101T2300,0.0
20200102T0000,0.0
20200102T0100,0.0
20200102T0200,0.0
20200102T0300,0.0
20200102T0400,0.0
20200102T0500,0.0
20200102T0600,0.0
20200102T0700,0.0
20200102T0800,0.0
20200102T0900,19.58
20200102T1000,129.94
20200102T1100,233.18
20200102T1200,307.05
20200102T1300,328.41
20200102T1400,308.83
20200102T1500,245.64
20200102T1600,145.06999
20200102T1700,31.15
20200102T1800,0.0
20200102T1900,0.0
20200102T2000,0.0
20200102T2100,0.0
20200102T2200,0.0
20200102T2300,0.0
20200103T0000,0.0
20200103T0100,0.0
20200103T0200,0.0
20200103T0300,0.0
20200103T0400,0.0
20200103T0500,0.0
20200103T0600,0.0
20200103T0700,0.0
20200103T0800,0.0
20200103T0900,12.46
20200103T1000,88.11
20200103T1100,189.56999
20200103T1200,305.27
20200103T1300,332.86
20200103T1400,307.94
20200103T1500,182.45
20200103T1600,74.76
20200103T1700,14.24
20200103T1800,0.0
20200103T1900,0.0
20200103T2000,0.0
20200103T2100,0.0
20200103T2200,0.0
20200103T2300,0.0
20200104T0000,0.0
20200104T0100,0.0
20200104T0200,0.0
20200104T0300,0.0
20200104T0400,0.0
20200104T0500,0.0
20200104T0600,0.0
20200104T0700,0.0
20200104T0800,0.0
20200104T0900,7.12
20200104T1000,62.3
20200104T1100,147.73999
20200104T1200,218.94
20200104T1300,340.87
20200104T1400,322.18
20200104T1500,261.66
20200104T1600,156.64
20200104T1700,34.71
20200104T1800,0.0
20200104T1900,0.0
20200104T2000,0.0
20200104T2100,0.0
20200104T2200,0.0
20200104T2300,0.0
20200105T0000,0.0
20200105T0100,0.0
20200105T0200,0.0
20200105T0300,0.0
20200105T0400,0.0
20200105T0500,0.0
20200105T0600,0.0
20200105T0700,0.0
20200105T0800,0.0
20200105T0900,19.58
20200105T1000,131.72
20200105T1100,223.39
20200105T1200,305.27
20200105T1300,331.08
20200105T1400,313.28
20200105T1500,251.87
20200105T1600,153.08
